# dt (sec)	Amp1 (V)	Width1 (s)	Amp2 (V)	Width2 (s)
#
1.988000e-06	   0.67308	6.489751e-08	   0.58908	1.426485e-07
3.864000e-05	   0.59190	6.237268e-08	   0.58792	1.425681e-07
3.760400e-05	   0.77475	7.398006e-08	   0.58020	1.415862e-07
2.005200e-05	   0.77618	7.042676e-08	   0.58105	1.422016e-07
1.832400e-05	   0.73635	6.793302e-08	   0.60266	1.433891e-07
1.274800e-05	   0.66889	6.315312e-08	   0.58324	1.412639e-07
1.862000e-05	   0.69888	6.746878e-08	   0.58549	1.426594e-07
1.511200e-05	   0.73105	7.095848e-08	   0.58295	1.426876e-07
2.664800e-05	   0.81382	7.358195e-08	   0.59981	1.431242e-07
1.080000e-06	   0.65829	6.526442e-08	   0.53804	8.988551e-08
2.580800e-05	   0.65537	6.485977e-08	   0.58405	1.420388e-07
2.900000e-06	   0.68971	6.382791e-08	   0.58953	1.415718e-07
2.078400e-05	   0.72601	6.652065e-08	   0.58640	1.406100e-07
1.662400e-05	   0.63322	6.326327e-08	   0.58527	1.429560e-07
3.800800e-05	   0.65887	6.402658e-08	   0.58924	1.423015e-07
8.440000e-06	   0.62022	6.260753e-08	   0.58774	1.416110e-07
7.384000e-06	   0.71185	7.092518e-08	   0.58440	1.426429e-07
1.260000e-05	   0.62699	6.214675e-08	   0.59063	1.437106e-07
3.298000e-05	   0.67925	6.454427e-08	   0.58854	1.432322e-07
1.566000e-05	   0.73186	6.732113e-08	   0.60524	1.425431e-07
2.163200e-05	   0.79996	7.339718e-08	   0.60117	1.440465e-07
3.089600e-05	   0.72384	6.773004e-08	   0.59422	1.450140e-07
1.216800e-05	   0.76665	6.888432e-08	   0.59764	1.427063e-07
2.032400e-05	   0.71971	6.641192e-08	   0.60323	1.430947e-07
3.198000e-05	   0.68827	6.521798e-08	   0.58795	1.421128e-07
2.425200e-05	   0.56981	6.116709e-08	   0.57930	1.415703e-07
1.599600e-05	   0.59867	6.430101e-08	   0.60609	1.435688e-07
2.382800e-05	   0.63117	6.123467e-08	   0.57301	1.424603e-07
1.237600e-05	   0.67992	6.714840e-08	   0.59304	1.427739e-07
3.668000e-05	   0.74099	6.868143e-08	   0.58158	1.424213e-07
9.124000e-06	   0.71196	6.727634e-08	   0.57857	1.415888e-07
3.298800e-05	   0.63609	6.226510e-08	   0.60284	1.447066e-07
9.556000e-06	   0.79777	6.981352e-08	   0.59494	1.440586e-07
2.934000e-05	   0.73640	6.960087e-08	   0.57585	1.421903e-07
3.588800e-05	   0.70406	6.444536e-08	   0.59241	1.436610e-07
2.078800e-05	   0.69701	6.458712e-08	   0.58542	1.418850e-07
3.296400e-05	   0.77227	7.051795e-08	   0.59634	1.437779e-07
1.470400e-05	   0.63792	6.303362e-08	   0.59100	1.433418e-07
1.740800e-05	   0.72531	6.738381e-08	   0.59347	1.434142e-07
4.332000e-06	   0.63284	6.109394e-08	   0.58216	1.422148e-07
3.436400e-05	   0.69778	6.674580e-08	   0.58551	1.437320e-07
3.322400e-05	   0.76814	6.790038e-08	   0.59019	1.430520e-07
6.200000e-06	   0.68480	6.843765e-08	   0.58329	1.427152e-07
3.326400e-05	   0.68675	6.382848e-08	   0.60073	1.430875e-07
2.672400e-05	   0.72578	6.743953e-08	   0.58542	1.410488e-07
2.538800e-05	   0.76834	6.685682e-08	   0.59515	1.428997e-07
3.634000e-05	   0.71445	6.655192e-08	   0.59174	1.434232e-07
2.497600e-05	   0.69297	6.437477e-08	   0.59205	1.437827e-07
6.540000e-06	   0.80415	7.365406e-08	   0.58145	1.426850e-07
3.126000e-05	   0.64301	6.600251e-08	   0.58738	1.428455e-07
1.565600e-05	   0.67535	6.585940e-08	   0.61483	1.443685e-07
2.375600e-05	   0.56180	6.534408e-08	   0.59309	1.430643e-07
2.844800e-05	   0.58235	6.086839e-08	   0.59050	1.442770e-07
2.206800e-05	   0.66809	6.518327e-08	   0.58155	1.427972e-07
2.636800e-05	   0.76397	6.881786e-08	   0.59403	1.432202e-07
3.900400e-05	   0.74251	6.785708e-08	   0.59161	1.423434e-07
5.048000e-06	   0.72293	6.829427e-08	   0.57857	1.424419e-07
3.234800e-05	   0.58417	6.175127e-08	   0.59778	1.439711e-07
1.554800e-05	   0.70692	6.380067e-08	   0.59960	1.426230e-07
3.494000e-05	   0.70671	6.658529e-08	   0.58124	1.417809e-07
3.357600e-05	   0.69298	6.606055e-08	   0.59411	1.424135e-07
6.952000e-06	   0.66970	6.324995e-08	   0.58770	1.420164e-07
2.724000e-06	   0.76858	7.124898e-08	   0.59769	1.433591e-07
9.660000e-06	   0.69031	6.815225e-08	   0.59267	1.432510e-07
5.956000e-06	   0.57594	6.133899e-08	   0.60044	1.417446e-07
2.014000e-05	   0.74177	6.819961e-08	   0.60335	1.432028e-07
3.905200e-05	   0.68756	6.445365e-08	   0.58739	1.427714e-07
2.313600e-05	   0.81968	7.208700e-08	   0.60476	1.445983e-07
1.058000e-05	   0.59425	6.148727e-08	   0.59960	1.424198e-07
9.744000e-06	   0.76698	6.684665e-08	   0.60523	1.427740e-07
2.013600e-05	   0.63672	6.295124e-08	   0.59147	1.428789e-07
1.596000e-05	   0.67509	6.497945e-08	   0.58287	1.424838e-07
3.400400e-05	   0.66406	6.568244e-08	   0.58433	1.431636e-07
1.525200e-05	   0.67558	6.382806e-08	   0.60210	1.425207e-07
3.915600e-05	   0.65997	6.352245e-08	   0.57799	1.418644e-07
2.046800e-05	   0.70098	6.615046e-08	   0.59446	1.440029e-07
2.562800e-05	   0.71246	6.637386e-08	   0.60806	1.438925e-07
8.224000e-06	   0.76444	6.774811e-08	   0.59397	1.431255e-07
1.758000e-05	   0.67470	6.677015e-08	   0.61347	1.449404e-07
3.005600e-05	   0.74984	6.691165e-08	   0.58783	1.435232e-07
2.303200e-05	   0.66088	6.445655e-08	   0.59244	1.426386e-07
2.130000e-05	   0.73791	6.822342e-08	   0.59047	1.430188e-07
8.336000e-06	   0.63514	6.807889e-08	   0.59525	1.427626e-07
7.272000e-06	   0.66759	6.804015e-08	   0.58028	1.435717e-07
3.680000e-06	   0.65795	6.126267e-08	   0.58570	1.423305e-07
1.693600e-05	   0.66556	6.309994e-08	   0.59382	1.432510e-07
3.275600e-05	   0.78155	7.351536e-08	   0.57688	1.423461e-07
2.008400e-05	   0.58430	6.596115e-08	   0.59783	1.432843e-07
3.731200e-05	   0.67619	6.357926e-08	   0.58494	1.435450e-07
5.468000e-06	   0.69223	6.578185e-08	   0.59732	1.431657e-07
1.557200e-05	   0.56677	6.037974e-08	   0.59165	1.417754e-07
2.068000e-06	   0.70273	6.515526e-08	   0.59266	1.426735e-07
3.125200e-05	   0.68940	6.466586e-08	   0.58723	1.421834e-07
2.989200e-05	   0.66549	6.540902e-08	   0.59164	1.418748e-07
2.300800e-05	   0.67355	6.446477e-08	   0.59987	1.429464e-07
1.630000e-05	   0.67213	6.651581e-08	   0.57427	1.425098e-07
2.642400e-05	   0.64623	6.435201e-08	   0.60745	1.454961e-07
3.620400e-05	   0.68165	6.163233e-08	   0.57835	1.421365e-07
2.551600e-05	   0.69319	6.878776e-08	   0.59633	1.428528e-07
1.122400e-05	   0.77140	6.958279e-08	   0.58975	1.443719e-07
2.872000e-05	   0.63805	6.413863e-08	   0.59307	1.422634e-07
