Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
4.000000E-8	0.133545	3.082803E-8	0.000000	0.000000	0.000000	7.600000E-8	0.076067	4.348441E-8	0.000000	0.000000	0.000000
4.000000E-9	0.471492	3.825710E-8	0.000000	0.000000	0.000000	4.000000E-8	0.485334	4.068631E-8	0.000000	0.000000	0.000000
3.200000E-8	0.190786	3.326646E-8	0.000000	0.000000	0.000000	6.400000E-8	0.126049	7.369687E-8	0.000000	0.000000	0.000000
0.000000	0.373548	4.411325E-8	0.000000	0.000000	0.000000	3.200000E-8	0.661735	4.282324E-8	0.000000	0.000000	0.000000
3.200000E-8	0.132487	3.651878E-8	0.000000	0.000000	0.000000	6.400000E-8	0.029074	4.844698E-8	0.000000	0.000000	0.000000
1.200000E-8	0.530796	3.260458E-8	0.000000	0.000000	0.000000	5.600000E-8	0.047414	5.563175E-8	0.000000	0.000000	0.000000
2.800000E-8	0.212240	3.477225E-8	0.000000	0.000000	0.000000	5.600000E-8	0.371386	4.031319E-8	0.000000	0.000000	0.000000
0.000000	0.617195	3.886845E-8	0.000000	0.000000	0.000000	2.800000E-8	0.136651	2.963697E-8	0.000000	0.000000	0.000000
1.200000E-8	0.409039	3.175159E-8	0.000000	0.000000	0.000000	4.800000E-8	0.385117	3.680769E-8	0.000000	0.000000	0.000000
1.600000E-8	0.215050	4.947419E-8	0.000000	0.000000	0.000000	5.200000E-8	0.066901	4.426868E-8	0.000000	0.000000	0.000000
2.800000E-8	0.181889	3.622228E-8	0.000000	0.000000	0.000000	6.000000E-8	0.090233	5.332369E-8	0.000000	0.000000	0.000000
1.200000E-8	0.346687	3.878973E-8	0.000000	0.000000	0.000000	5.600000E-8	0.098134	3.026331E-8	0.000000	0.000000	0.000000
8.000000E-9	0.330528	4.957242E-8	0.000000	0.000000	0.000000	4.400000E-8	0.220528	3.824152E-8	0.000000	0.000000	0.000000
